Id,X1,y
579,"Südliche Altstadt; Gestaltungskonzept und Projekt  Etappe Gallusstrasse (Vorlage vom 19.12.2006, SRB 2571); Künftige Verkehrsorganisation und Krediterteilung für das Gesamtprojekt; Zusatzbericht zur Vorlage vom 19.12.2006",13
580,"St.Gallen – Rorschacher Strasse; Erneuerung der Wasser-Transportleitung, Abschnitt Haus Nr. 7 bis Haus Nr. 25; Verpflichtungskredit",10
581,Behindertengerechtes Bauen in der Stadt St.Gallen,16
582,"Sittertalstrasse; Strassenausbau und -instandstellung sowie Erschliessung mit Erdgas, Wasser und Elektrizität",16
583,Anpassung Streiterledigungsverfahren; Nachtrag IV zum Personalreglement (sRS 191.1),11
584,"Nachtragskredite, gebundene Ausgaben und Zusatzkredite im Rechnungsjahr 2003",2
585,Erhöhung des jährlichen Beitrags an den Verein St.Gallen-Bodensee Tourismus,6
586,Beschäftigungsprogramme für Asylsuchende,15
587,Nachtragskredite im Rechnungsjahr 2015,2
588,Eröffnung eines Freiwilligen Schulhausangebotes im Schulquartier Grossacker,5
589,Bericht der ständigen parlamentarischen Kommissionen zu Vorstössen des Jahres 2016 gemäss Partizipationsreglement,0
590,"Zonenplanänderungen Austrasse, Martinsbruggstrasse 78, Föhrenstrasse 7, Kesselhaldenstrasse 64 und Sittertalstrasse / Sittertal",16
591,Mövenstrasse 14: Einbau eines Strassenwärtermagazins,2
592,Geschäftsbericht Stadt St.Gallen 2016,9
593,Anschaffung eines Tanklöschfahrzeuges,15
594,Nachtragskredite im Rechnungsjahr 2005,2
595,"Rahmenkredite für Kanal-, Werkleitungs- und Strassensanierungen für die Legislaturperiode 2005 - 2008",1
596,"Immobilien-Bewirtschaftungs-System ""IBS""",4
597,St.Gallen – Rechenwaldstrasse; Kehrichtheizkraftwerk bis Rechenstrasse;  Neubau der Erdgas-Mitteldruckleitung sowie Erneuerung der Wasserverteilleitung; Verpflichtungskredit,10
598,"Schaffung eines ""Sachverständigenrates für Städtebau und Architektur""",16
599,Totalrevision Feuerschutzreglement,15
600,Neugestaltung des Vadianplatzes; Überarbeitetes Projekt,16
601,Neue Subventionsordnung für die Genossenschaft Konzert und Theater St.Gallen sowie Abtretung des Theatergebäudes und der Tonhalle an den Kanton St.Gallen,3
602,Sanierung und Erneuerung der Werkleitungen in der Zürcher Strasse,10
603,Verein St.Gallen-Bodensee Tourismus; Leistungsvereinbarung; Verlängerung des jährlichen Beitrages um ein Jahr bis Ende 2022,6
604,Mittelfristige Finanzperspektiven und Umsetzung des kantonalen Finanzausgleichs,2
605,"Ausgliederung Versicherungskasse, Wechsel zum Beitragsprimat, Ausfinanzierung",11
606,"Liegenschaft Centrum Nr. C2033, Schlosserstrasse 22; Abgabe im Baurecht",2
607,Neue Anstellungsbedingungen für die Schulleitungen in der Stadt St.Gallen,5
608,Erneuerung der Mühleggbahn: Beitrag der Stadt St.Gallen an die Sanierungskosten,14
609,"St.Leonhard-Strasse, Gäbrisstrasse – Kornhausstrasse, Aufwertung; Verpflichtungskredit",16
610,Marktplatz; neue Marktstände sowie Sanierung und Ergänzung der Lagerkeller,16
611,Erneuerung der Trolleybusfahrleitungen,14
612,Kompetenzregelung für die Energiebeschaffung; Nachtrag IV zur Gemeindeordnung,6
613,Aufbau eines geografischen Netzinformationssystems (GIS/NIS); Systembeschaffung und Erstdatenerfassung in den Bereichen Erdgas- und Wasserversorgung und Stadtentwässerung (Teilprojekt Genesys),10
614,Anschubfinanzierung Technologiezentrum „Feld 3“ bei der Empa; Verpflichtungskredit,6
615,Förderung im Vorkindergartenalter - Projekt Spiki,7
616,Sanierung des Orchideenhauses im Botanischen Garten,16
617,"Fuss- und Veloverkehr, Sofortmassnahmen (2018 - 2020); Verpflichtungskredit",13
618,"Erweiterte Blockzeiten für Kindergarten und Primarschule: Grundmodell 5x4, Pilotprojekt",5
619,Realschule Bürgli; Sanierung der Feuchteschäden im Untergeschoss,5
620,Inventar der schützenswerten Bauten ausserhalb der Altstadt; weiteres Vorgehen,16
621,"Gestaltungsplan ""Kirchlistrasse, Parzelle F3370""",16
622,Kulturkonzept 2009,3
623,Projekt Verwaltungsreorganisation „Futura“; Zielsetzungen und Grobkonzeption; Verpflichtungskredit und Nachtragskredit (12.3182),4
624,"Gestaltungsplan ""Rosenbüchel"" mit besonderen Vorschriften",16
625,Subventionserhöhungen für das Naturmuseum und das Kunstmuseum für 2016 ff.,3
626,"St.Gallen – Zürcher Strasse; Erneuerung der Wassertransportleitung, Abschnitt Fürstenlandstrasse bis zur Fürstenlandbrücke; Zusatzkredit",10
627,Sanierung und Ausbau der öffentlichen Toiletten-Anlagen; Erteilung eines Rahmenkredites,1
628,Bau einer Tennishalle in Rotmonten; städtische Finanzierungshilfe,8
629,Daniel Kehl: Keine Schule ausserhalb des Schulareals? (SRB 1910 vom 10. Juni 2010),5
630,Zusätzliche Einlage in den städtischen Energiefonds,12
631,Erwerb der Wohnüberbauung Heimstrasse / Zürcher Strasse und Abgabe im Baurecht im Rahmen des 12-Millionen-Kredits,2
632,Wiederkehrender Beitrag an die Stiftung Benevol,7
633,"Kugelgasse, Neugestaltung im Abschnitt Spitalgasse bis Spisergasse inkl. Löwengasse",16
634,"Primarschule Boppartshof, Neubau Betreuung, Wettbewerb mit Vorprojekt; Verpflichtungskredit",5
635,Teilrevision des Reglementes der Versicherungskasse,11
636,Realisierung eines gemeinsamen Verkehrskonzeptes von ARA Au und KVA,1
637,Alternative Massnahme zur Verzinsung der Deckungslücke der Versicherungskasse,11
638,Primarschule Rotmonten; Sofortmassnahmen Turnhalle,5
639,"Sanierung der Sportanlage Krontal; neues Rasenspielfeld, neues Garderobengebäude mit Einbau eines Strassenwärtermagazins und Sanierung der Tribüne",8
640,"Bahnhof St.Gallen, Projektergänzung für die Personenunterführung West",16
641,Strategische Ausrichtung unserer VBSG,14
642,Tarifverbund Ostwind; Übertragung der Tarifkompetenz,14
643,Bau des Rückhaltebeckens Rütiweiher für den Hochwasserschutz der Steinach; Zusatzkredit,16
644,Legislaturziele 2005 - 2008,6
645,Erweiterung des Time-out-Angebots,5
646,Baubeitrag für die Erweiterung Seniorenwohnsitz Singenberg,7
647,Förderung des Deutschunterrichtes auf der Oberstufe,5
648,Interessengemeinschaft Aktionshalle Graben; Subventionserhöhung ab 2020,3
649,Claudia Buess-Willi; Krügerstrasse: Wunden der Apartheid noch offen (SRB 0183 vom 10.02.2009),16
650,Verein St.Gallen-Bodensee Tourismus; Leistungsvereinbarung; Verlängerung des jährlichen Beitrages um ein Jahr bis Ende 2022,6
651,Schulorganisation 2007; Wahl einer Spezialkommission,5
652,Museumstrasse 31; Gesamtsanierung,2
653,Umsetzung Lokale Agenda 21,12
654,Fernwärmeversorgung; Abrechnung,10
655,Behindertengerechtes Bauen in der Stadt St.Gallen,16
656,"Primarschule Riethüsli, Projektwettbewerb für den Neubau der Schulanlage, Krediterteilung",5
657,"Neue Bibliothek St.Gallen, Vorprojekt, Sondernutzungsplanung; Verpflichtungskredit",3
658,Kehrichtheizkraftwerk (KHK); Logistikbauten und Elektroinfrastruktur; Garage und Anschlussgebäude; Zusatzkredit,1
659,"VBSG-Linie 2, Verlängerung Hinterberg; Umwandlung des Versuchsbetriebs in einen regulären Betrieb",13
660,Einführung einer Grüngutabfuhr; Nachtrag I zum Abfallreglement vom 17. Juni 2008 (sRS 541.1),1
661,Gründung und Anschubfinanzierung der Spitex St.Gallen AG,7
662,"Nachtragskredite, gebundene Ausgaben und Zusatzkredite im Rechnungsjahr 2001",2
663,Reglement über die Finanzkontrolle,2
664,"Erdgas-Einspeisung Ost: MD-Leitung Riet - St.Gallen, Abschnitt Riet (Goldach) bis MOAG (Mörschwil); 2. Zusatzkredit",10
665,Aufwertung der Poststrasse,16
666,"VBSG-Flottenerneuerung, 2. Etappe; Umstellung der Linien 7, 8, 9, 10 und 11 auf elektrischen Betrieb, Verpflichtungskredit",14
667,Personalaufstockung Stadtpolizei; zweiter Schritt,15
668,Revision des Feuerschutzreglements (Anhang),15
669,Solaranlage beim Einkaufszentrum / Stadion,10
670,Schule für Gestaltung Schulhaus Bild; Sanierung und betriebliche Anpassungen,5
671,Massnahmen zur Gewährleistung des Explosionsschutzes und der Arbeitssicherheit in der Abwasserreinigungsanlage (ARA) Hofen,1
672,Folchart- bis Schneebergstrasse; Erneuerung und Erweiterung der Erschliessung mit Wasser,10
673,Beteiligung am Rechenzentrum Ostschweiz,10
674,"Erneuerung Mischwasserkanal Rechenstrasse, Abschnitt Zürcher Strasse bis Regenbecken Rechenwald; Entlastungsleitung vom Regenbecken Rechenwald zur Sitter; Verpflichtungskredit",1
675,Ersatz Reservoir und Pumpwerk Speicherstrasse; Ablauf Referendumsfrist,10
676,"Felsenstrasse, Instandstellung und Neugestaltung im Abschnitt Gottfried-Keller-Strasse bis Kapellenstrasse",16
677,St.Gallen - Abtwil; Umlegung von Erdgas- und Wasserleitungen im Rahmen des Neubaus Stadion / Einkaufszentrum und der Neukonzeption der Verkehrsanlagen; Erschliessung von Stadion / Einkaufszentrum mit Erdgas und Wasser,10
678,Übernahme des Freibades Rotmonten von der Genossenschaft Schwimmbad,8
679,"St.Gallen - Zürcher Strasse; Erneuerung der Wasserleitung in der Zürcher Strasse, Abschnitt Erlachstrasse bis Strubenzellstrasse",10
680,"Änderung des Überbauungsplanes ""Haldenstrasse - Felsenstrasse"" mit besonderen Vorschriften",16
681,Zonenplanänderung für die Erweiterung des Kunstmuseums St.Gallen,16
682,Reglement über den Schutz vor sexueller Belästigung am Arbeitsplatz,11
683,Umbau und Sanierung von Verkaufsstelle und Personalaufenthaltsräumen im Pavillon beim Bahnhofplatz; Erteilung eines Verpflichtungskredites,14
684,Projektierung und Bau von Nahwärmeverbunde und Lancierung des Contracting-Geschäftes; Rahmenkredit,10
685,"St.Gallen – Kräzernstrasse;  Erneuerung der Erdgas-Mitteldruckleitung und der Wasserverteilleitung in der Kräzernstrasse, Abschnitt Kräzernbrücke bis Lehnstrasse; Verpflichtungskredit",10
686,Sanierung des Waaghauses; Behebung der dringendsten Mängel; Verpflichtungskredit,4
687,Konzert und Theater St.Gallen; Verlängerung der Subventionsordnung bis 2011,3
688,"Energiekonzept 2050 - Lagebeurteilung, Perspektiven, Massnahmenbereiche",10
689,Erlass eines Immissionsschutzreglements,12
690,"St.Gallen – Kirchlistrasse; Erneuerung der Wasser-Verteil- und der Wasser-Hauszuleitungen sowie der Erdgas-Hochdruck-, der Erdgas-Niederdruck- und der Erdgas-Hauszuleitungen; Abschnitt Sonnenhaldenstrasse bis Sandrainstrasse; Verpflichtungskredit",10
691,"Erweiterung der Tagesstruktur für die Primarschule Boppartshof, Bau eines Pavillons",5
692,Kinderkrippen; Erhöhung des kostendeckenden Tagessatzes,7
693,Wahl des Stadtschreibers und des stellvertretenden Sekretärs des Grossen Gemeinderats,11
694,Sanierung und Neugestaltung der Schwimmbadanlage im Lerchenfeld; Zusatzkredit,8
695,"St.Gallen – Rorschacher Strasse; Erneuerung der Wasser-Transportleitung, der Wasser-Verteilleitung und der Wasser-Anschlussleitungen sowie der Erdgas-Hochdruckleitung, der Erdgas-Niederdruckleitung und der Erdgas-Anschlussleitungen, Abschnitt Blumenaustrasse bis Singenbergstrasse; Verpflichtungskredit",10
696,Einsatz von Klassen-Notebooks in den Primarschulen der Stadt St.Gallen,4
697,Liegenschaft Palace; Sanierung des Gebäudes und Umbau für die kulturelle Nutzung - überarbeitetes Projekt,3
698,"Schulhaus Boppartshof, behindertengerechte Erschliessung und Sanierung der Aussenanlagen",5
699,Organisation des Zivilschutzes,6
700,Deponie Tüfentobel; Nachtrag I zum Reglement über den Fonds für ökologische Ausgleichsmassnahmen der Deponie Tüfentobel,1
701,Sportplatz Iltisstrasse; Umbau vom Allwetterplatz zu einem Kunstrasenspielfeld,8
702,Ersatzwahl in den Stiftungsrat der Stiftung für Arbeit für den Rest der Amtsdauer 2017 – 2020,9
703,Familienergänzende Betreuung von Kindern im Vorschulalter: Ausbau des Angebotes,7
704,Wohnhaus Falkensteinstrasse 11; Innensanierung,2
705,Nachtrag I zum Energiefondsreglement,12
706,"Konzept Frühförderung und Einschulung: Projekt ""Vom Kindergarten in die Schule, KidS""",5
707,Schutzverordnung Goldachtobel,12
708,"Katharinengasse 16, Sanierung der Obergeschosse und neues Raumkonzept des Jugendsekretariates",5
709,Oberstrasse; Ausbau und Instandstellung von der Hechtackerstrasse bis zum Haggenhaldenweg,16
710,Geschäftsbericht 2014 der Sankt Galler Stadtwerke,10
711,Bericht der ständigen parlamentarischen Kommissionen zu Vorstössen des Jahres 2012 gemäss Partizipationsreglement,9
712,Inventar der schützenswerten Bauten ausserhalb der Altstadt; weiteres Vorgehen,16
713,Sanierung altes Lagerhaus; Bericht der Spezialkommission,2
714,"Sanierung Unterwerke - Ersatz Schutz- und Feldleitgeräte, Stationsleitsystem, Mittelspannungsschaltanlagen, Rundsteuerung und Hilfsgeräte",10
715,Anpassung des Gasttaxenreglements und Erhöhung des jährlichen Beitrags an St.Gallen-Bodensee-Tourismus,6
716,Baubeitrag für Neubau des evang. Pflegeheims Heiligkreuz,7
717,Altwinkelnstrasse; Ausbau und Instandstellung von der Biderstrasse bis zum Haus Nr. 38,16
718,Aufhebung der städtischen Altersbeihilfe,7
719,Revision Lex Arena,15
720,"Primarschule Hebel-Bach, Provisorium für Betreuung und Primarschule, Projektierungs- und Ausführungskredit",5
721,Inventar der schützenswerten Bauten ausserhalb der Altstadt; weiteres Vorgehen,16
722,"Sanierung der Wohnliegenschaft ""Adler"" St.Georgen-Strasse 82, 84, Wiesenstrasse 49",2
723,Voranschlag 2010 und Bericht zum Voranschlag 2010,2
724,"Ausbau des städtischen Fernwärmenetzes, 2. Ausbauphase",2
725,"Erschliessung Oberstocken, Meteorwasserkanal, Erweiterung sowie Erneuerung und Sanierung",1
726,Unterstützung Concours de Saut International Officiel Schweiz St.Gallen (CSIO),8
727,Ersatzwahl in den Stiftungsrat Stiftung für Arbeit,7
728,Beteiligung der Stadt St.Gallen an der Swisspower Netzwerk AG,10
729,Abfall- und Wertstoffentsorgung; Beschaffung von Abfuhrfahrzeugen; Verpflichtungskredit,1
730,Gewährung eines Baubeitrages an den Verein Altersheim Rotmonten für die Erweiterung des Altersheims,7
731,Parkplatzbewirtschaftung für städtisches Personal inkl. Lehrkräfte,11
732,"Burgstrasse, Instandstellung und Rückbau von der Lustgartenstrasse bis zur Bogenstrasse",16
733,Erneuerung der Steuerungsanlagen in der Kehrichtverbrennungsanlage St.Gallen (KVA),1
734,St.Gallen - Gädmen; Erneuerung der Elektrizitätsversorgung,10
735,Zonenplanänderung Notkersegg – Auf Wiesen,16
736,"Burgstrasse, Instandstellung und Rückbau von der Lustgartenstrasse bis zur Bogenstrasse",16
737,"St.Gallen – Zürcher Strasse; Haus Nr. 497 bis Schlachthofstrasse 24; Erneuerung einer Mitteldruck-Erdgasleitung, Verpflichtungskredit",10
738,"Hechtackerstrasse, Haggenstrasse bis Bernhardswiesstrasse, Instandstellung und Neugestaltung; Verpflichtungskredit",16
739,Geschäftsberichte des Stadtrats über das Amtsjahr 2011,9
740,Aufwertung und Neugestaltung des Bahnhofplatzes,16
741,Frohbergstrasse; Rorschacher Strasse bis Steinachstrasse (Querverbindung Frohbergstrasse),16
742,"Haggenbrücke, Korrosionsschutz und Erneuerung der Fahrbahnplatte",16
743,Reglement über die Organisation und Geschäftsführung des Stimmbüros,0
744,"ÖV-Bevorzugung, ÖV-Linienerkennung; Verpflichtungskredit",13
745,"Metzgergasse, Neugestaltung im Abschnitt Marktplatz bis Unterer Graben; Verpflichtungskredit",16
746,Textilmuseum St.Gallen; Subventionserhöhung ab 2018; Konto 2095.36515,3
747,Voranschlag 2013 und Bericht zum Voranschlag 2013*,2
748,Wiederwahl des Stadtschreibers und des Ratssekretär- Stellvertreters,11
749,Kindes- und Erwachsenenschutzrecht (KES): Vertrag zur Gründung der neuen KES-Behörde,7
750,Jugendarbeit Zentrum und definitiver Einbau der Jugendbeiz,5
751,"Zonenplanänderungen Stationsweg Bruggen, Ruckhalden, Girtannersberg, Bruggwiesen/Flurhofstrasse, Rorschacher Strasse 258 und Fuchsenstrasse",16
752,Open Source-Software an Schulen der Stadt St.Gallen,5
753,Bodenabtretungen an den Kanton St.Gallen für das Fachhochschulzentrum,2
754,"Primarschule Hebel-Bach, Neubau Betreuung und Mittagstisch, Verpflichtungskredit für einen Wettbewerb mit Vorprojekt",5
755,Eröffnung eines Freiwilligen Schulhausangebotes für das Schulquartier Heimat / Buchwald,5
756,Massnahmen zur Gewährleistung des Explosionsschutzes und der Arbeitssicherheit in der Abwasserreinigungsanlage (ARA) Hofen,1
757,„Mobilitätsinitiative“; Bericht und Antrag des Stadtrates,0
758,Städtische Unterstützung Anlass „Aufgetischt!“,3
759,"Brühlgasse, Neugestaltung im Abschnitt Spisergasse bis Spitalgasse inkl. Glockengasse",16
760,Nachtragskredite im Rechnungsjahr 2016,2
761,"Botanischer Garten St.Gallen, Neuer Vortrags- und Schulungspavillon; Verpflichtungskredit",16
762,Rollerpark für Skater,8
763,Anpassung des Gebührenrahmens für die Besucher-Parkbewilligung; Nachtrag II zum Reglement über das Parkieren auf öffentlichem Grund (Parkierreglement) vom 28. November 2006 (sRS 712.2); Ablauf Referendumsfrist,13
764,Sanierung und Erneuerung der ortsfesten Buswartehallen (1. Etappe): Erteilung eines Rahmenkredites,14
765,"Turnhalle Halden, Teilsanierung; Verpflichtungskredit",8
766,KHK-Logistik; Konzeptänderung infolge Verpuffung vom 12. September 2016; Zusatzkredit,1
767,Perspektiven für den Ausbau der Tagesstrukturen in der Stadt St.Gallen,5
768,Zusätzlicher Beitrag für Konzert und Theater St.Gallen,3
769,"Erlass des Überbauungsplanes ""Moos, Abtwil"" für ein Multiplex-Kino",16
770,Erweiterung der Primarschule Schönenwegen; Erteilung eines Ausführungskredites,5
771,Änderung des Taxireglementes (Aufhebung des Taxitarifes),13
772,Abgabe der Liegenschaft Felsenstrasse 31 im Baurecht,16
773,Zusätzliche Einlage in den städtischen Energiefonds,12
774,"Gestaltungspläne Birnbäumen I, II, und III sowie Zonenplanänderung Birnbäumen / Goldbrunnen",16
775,Hauptbahnhof; Beitrag an die Verbreiterung der westlichen Bahnhof-Unterführung,16
776,Totalrevision des Reglements über die Abgabe von Energie und Wasser durch die Versorgungsbetriebe vom 28. Oktober 1969 (sRS 511.1),10
777,Erlass eines neuen Stadtwerkereglements,10
778,Aufwertung der Poststrasse,16
779,"Aufwertung und Neugestaltung Bahnhofplatz, Ausarbeitung eines Vorprojektes",16
780,Zweiter Zusatzkredit zum Rahmenkredit 2013 – 2016 für Wasserleitungssanierungen,2
781,"Teufener Strasse, Davidstrasse bis Oberstrasse, Instandstellung und Neugestaltung; Verpflichtungskredit",16
782,Teilrevision des Reglements der Versicherungskasse,11
783,Wohnbaustiftung Russen; Reduktion des Baurechtszinses,16
784,Beteiligung an der Investitions- und Betreibergesellschaft energienetz GSG AG,10
785,"Überbauung ""Einstein Kongress""; Strassenneugestaltungen und -instandstellungen sowie Erneuerung bzw. Verlegung der Erdgas- und Wasserleitungen",16
786,Einmaliger Unterstützungsbeitrag an die Spitex-Leistungsvereinbarungspartner für eine Lohnanpassung des Pflegepersonals,7
787,Aufwertung der Poststrasse,16
788,SpiKi - stadtweite Ausweitung und Konzeptanpassungen,7
789,Schulanlage Feldli; Projektanpassungen und Zusatzkredit für baulich bedingte Mehrkosten und Möblierung,5
790,"Feuerwehr und Zivilschutz St.Gallen, Berufsfeuerwehr Notkerstrasse 44, Sanierung und Erweiterung Betriebsgebäude; Verpflichtungskredit",15
791,"St.Gallen – Rorschacher Strasse; Erneuerung der Wassertransport- und der Wasserverteilleitung in der Rorschacher Strasse, Abschnitt Grütlistrasse bis Haus Nr. 250; Verpflichtungskredit; Ablauf Referendumsfrist",10
792,Einführung einer Gasttaxe,6
793,"Verkauf der Parzelle F5251, Tablatstrasse / Vogelherdstrasse, für die neue Wohnüberbauung Vogelherd-Nord",2
794,"St.Gallen - Zürcher Strasse; Erneuerung der Wassertransport- und Erdgasleitung in der Zürcher Strasse, Abschnitt Straubenzellstrasse bis Fürstenlandstrasse und in der Straubenzellstrasse, Abschnitt Zürcher Strasse bis Fürstenlandstrasse",10
795,Revision Taxiwesen: Nachtrag II zum Taxireglement,13
796,Abgabe von städtischem Wohnbauland an der Quimbystrasse (Winkeln) im Baurecht,16
797,Totalrevision Abfallreglement,1
798,Elektrische Erschliessung Birnbäumen; Zusatzkredit,10
799,Schönbüel Erschliessung; Ausweitung Rorschacher Strasse und Neubau Erschliessungsstrasse sowie Bau einer neuen Transformatorenstation Schönbüel samt Eingliederung in die Leitungsnetze,16
800,Schule für Gestaltung Schulhaus Bild; Sanierung und betriebliche Anpassungen,5
801,Budgetprozess und finanzielle Führung,2
802,"Bogenstrasse, ÖV-Eigentrassierung und Erneuerung der Elektrizitätsversorgungen; Zusatzkredit für projektbedingte Mehrkosten",16
803,Studienauftrag für die Erweiterung des VBSG-Depots,14
804,"Sanierung der Sportanlage Krontal; neues Rasenspielfeld, neues Garderobengebäude mit Einbau eines Strassenwärtermagazins und Sanierung der Tribüne",8
805,"Jugendkulturraum ""Flon""; Standortwechsel im Lagerhaus und definitive Installationen",5
806,Um- und Offenlegung Bruggwaldparkbach und Ausbau Heiligkreuzbach mit Ersatz Eindolung Waldstrasse; Verpflichtungskredit,16
807,Erneuerung der Mühleggbahn: Beitrag der Stadt St.Gallen an die Sanierungskosten,14
808,Sanierung von zwei Kindergärten und zwei Doppelkindergärten; Rahmenkredit,5
809,Organisatorische und räumliche Neuausrichtung des Betreibungsamtes St.Gallen,6
810,"Verlegung des Vormundschaftsamtes von der Brühlgasse 1 in das Geschäftshaus ""Winterthur"" Bahnhofplatz 1",4
811,"Katharinengasse 16, Sanierung der Obergeschosse und neues Raumkonzept des Jugendsekretariates",5
812,Initiative „Für ein lebendiges Areal Güterbahnhof ohne Autobahnanschluss“; Bericht und Antrag des Stadtrates,0
813,Rahmenkredit für die Erstellung von Photovoltaikanlagen in den Jahren 2011 - 2013,10
814,Geschäftsbericht 2018 der St.Galler Stadtwerke,10
815,Die Modernisierung der Stadtverwaltung,4
816,Fussweg im Galgentobel von der Lukasmüli bis zur Bahnüberführung SOB Bruggwald,16
817,Fachstelle für Fuss- und Veloverkehr,13
818,Änderung der Bauordnung betreffend Baubewilligungskommission und Sachverständigenrat; Abbruch des Verfahrens,16
819,"Friedhof Feldli, Aufbahrungsräume und Abschiedsraum; Baukredit",15
820,Beteiligung am Rechenzentrum Ostschweiz,10
821,Die Abgeltung der Zentrumslasten,2
822,Rechnung 2003,2
823,"Bau einer Curlinghalle im Lerchenfeld, städtischer Kostenanteil; Zusatzkredit",8
824,Biserhofstrasse; Strasseninstandstellung von der Gessnerstrasse bis zum Seelenhofweg; Erteilung eines Zusatzkredites für die teuerungsbedingten Mehrkosten,16
825,"Schulhaus Lachen, Umnutzung Umnutzung des Schulhauses Lachen in ein Unterrichtszentrum Rock und Pop",5
826,Teilrevision des Personalreglements (PR) - Nachtrag XI,11
827,Projektierung für die Sanierung des Waaghauses; Verpflichtungskredit,4
828,Biserhofstrasse; Strasseninstandstellung von der Gessnerstrasse bis zum Seelenhofweg; Erteilung eines Zusatzkredites für die teuerungsbedingten Mehrkosten,16
829,Massnahmen zur Verbesserung der Wasserqualität der Steinach; 1. Sanierungsetappe zur Werterhaltung und Optimierung der Leistung der Abwasserreinigungsanlage (ARA) Hofen,1
830,"Initiative ""Gegen die Bodenverschwendung""",0
831,Fernwärmezentrale; Ersatz der Brenner und der Leittechnik,10
832,"Hallenbad Blumenwies, Erneuerung und Erweiterung; Planungs-und Ausführungskredit",8
833,Stiftung Sitterwerk; Subventionserhöhung ab 2019,3
834,"Kolumbanstrasse, Splügenstrasse bis Heimatstrasse und Heimatstrasse bis Heiligkreuzstrasse, Neugestaltung; Verpflichtungskredit",16
835,Kunst Halle Sankt Gallen; Subventionserhöhung ab 2020,3
836,Gestaltungsplan Bernhardswies II,16
837,Rückbau des alten Seewasserwerks Riet sowie einer alten Gasregler-Station auf der Parzelle 139 in Goldach,10
838,"Gestaltungsplan ""Wartensteinstrasse"" mit besonderen Vorschriften",16
839,"Konzept Frühförderung und Einschulung: Projekt ""Vom Kindergarten in die Schule, KidS""",5
840,Geschäftsbericht 2015 der Ombudsstelle Stadt St.Gallen,6
841,Bau des Rückhaltebeckens Rütiweiher für den Hochwasserschutz der Steinach,16
842,Teilrevision des Reglementes für die Versicherungskasse der Stadt St.Gallen,11
843,Südliche Altstadt; Gestaltungskonzept und Projekt Etappe Gallusstrasse,16
844,Projektierung und Bau eines Geothermieheizkraftwerks und Ausbau des städtischen Fernwärmnetzes; Rahmenkredite,10
845,Betrieb Deponie Unterbüel; Rahmenkredit,1
846,"Rahmenkredite für Kanal-, Werkleitungs- und Strassensanierungen für die Legislaturperiode 2005 - 2008",1
847,Beteiligung am Rechenzentrum Ostschweiz,10
848,Contracting Notstromanlage Stadion / Einkaufszentrum West; Spitzenlastdeckung,10
849,Paul-Grüninger-Stadion; Sanierung des Kunstrasenspielfeldes und der Beregnungsanlage sowie Erneuerung der Beleuchtung des Hauptspielfeldes,8
850,"Steinach; Hochwasserschutz, Bachoffenlegung und Bachrenaturierung im Weiertal; Projektgenehmigung und Verpflichtungskredit",16
851,Förderung beschäftigungswirksamer Arbeitszeitmodelle,11
852,Prävention gegen Übergewicht und Bewegungsmangel,5
853,Geschäftsberichte des Stadtrats über das Amtsjahr 2010,9
854,"Immobilien-Bewirtschaftungs-System ""IBS""",4
855,Verankerung der Kinder- und Jugendzahnklinik in einem Nachtrag IV zum Reglement über die städtischen Schulen (Schulordnung) vom 29. August 2006,5
856,Schutzverordnung Goldachtobel,12
857,Mummenschanz-Theater in St.Gallen; bauliche Massnahmen und Umgebungsgestaltung,3
858,Erweiterung Oberstufenzentrum Schönau; Projektierungskredit,5
859,Sanierung Turnhalle Hebel,8
860,Wiederwahl der Ombudsperson-Stellvertretung für die Legislatur 2017 - 2020,6
861,"Primarschule Hebel, Sanierung und betriebliche Optimierung; Projektierungs- und Ausführungskredit",5
862,Erteilung des Gemeinde- und Ortsbürgerrecht a) Einbürgerungsrat St.Gallen b) Einbürgerungsrat St.Gallen-Tablat c) Einbürgerungsrat St.Gallen-Straubenzell,0
863,"Kreuzbleiche ""Fortunaplatz""; Neuaufbau des Rasenspielfeldes mit Beleuchtung",8
864,Geschäftsbericht Stadt St.Gallen 2020,9
865,Reglement über die Ombudsperson,6
866,Wohnüberbauung Laderen; Überbauungsplan und Erschliessung,16
867,Abgabe von städtischem Wohnbauland an der Geigerstrasse (Winkeln) im Baurecht,16
868,Übernahme des Freibades Rotmonten von der Genossenschaft Schwimmbad,8
869,Errichtung von zwei Firewall-Systemen,4
870,Neuorganisation und neue Schwerpunkte der Stabsstelle für Wirtschaftsförderung,6
871,"Güterbahnhof, provisorische Passerelle; Verpflichtungskredit",16
872,"Teufener Strasse, Davidstrasse bis Oberstrasse, Instandstellung und Neugestaltung; Verpflichtungskredit",16
873,"Aufhebung des Reglements über die Meldepflicht bei Arbeits- und Mietverhältnissen (Meldereglement, sRS 416.1) vom 17. November 1992",15
874,Städtischer Beitrag zur Instandsetzung der Kletterfelsen im Steinbockgehege des Wildparks Peter und Paul,16
875,Bau einer neuen Transformatorenstation im Gebiet Adlerberg samt Eingliederung in die Leitungsnetze,10
876,"St.Gallen – Spisergasse; Erneuerung der Wasserverteilleitung, der Wasser-Hauszuleitung, der Erdgasverteilleitung und der Erdgas-Hauszuleitung; Abschnitt Marktgasse bis Burggraben; Verpflichtungskredit",10
877,Abschluss des Generelle Entwässerungsplans (GEP),1
